,Capstone,Thesis,Case Study,Feasibility Study,Total
20002002,0.0,0.0,0.0,2.0,2.0
2001,0.0,0.0,0.0,2.0,2.0
2002,0.0,0.0,0.0,2.0,2.0
2003,0.0,0.0,0.0,4.0,4.0
20052009,0.0,0.0,2.0,0.0,2.0
2007,0.0,0.0,1.0,2.0,3.0
2008,2.0,0.0,1.0,2.0,5.0
2009,0.0,1.0,1.0,0.0,2.0
2010,0.0,1.0,0.0,2.0,3.0
2011,3.0,0.0,5.0,0.0,8.0
2012,0.0,3.0,3.0,0.0,6.0
20122017,0.0,0.0,2.0,0.0,2.0
2013,1.0,2.0,4.0,2.0,9.0
2014,0.0,0.0,7.0,2.0,9.0
20142016,0.0,0.0,2.0,0.0,2.0
2015,0.0,1.0,10.0,0.0,11.0
2016,3.0,3.0,7.0,4.0,17.0
2016the,0.0,0.0,1.0,0.0,1.0
2017,3.0,1.0,15.0,0.0,19.0
2018,0.0,2.0,24.0,12.0,38.0
20183,0.0,1.0,0.0,0.0,1.0
2019,0.0,6.0,5.0,0.0,11.0
2019the,3.0,0.0,0.0,0.0,3.0
2020,5.0,11.0,1.0,4.0,21.0
2021,0.0,9.0,1.0,24.0,34.0
2022,0.0,1.0,0.0,0.0,1.0
2024,0.0,0.0,0.0,2.0,2.0
20280,0.0,0.0,0.0,2.0,2.0
2030,3.0,1.0,1.0,0.0,5.0
20465,0.0,0.0,1.0,0.0,1.0
2071,0.0,0.0,1.0,4.0,5.0
2076,0.0,1.0,0.0,0.0,1.0
2077,0.0,1.0,1.0,0.0,2.0
20992,0.0,0.0,0.0,4.0,4.0
20th,0.0,0.0,1.0,0.0,1.0
2104,0.0,1.0,0.0,0.0,1.0
2130,0.0,0.0,1.0,0.0,1.0
2193,0.0,0.0,0.0,2.0,2.0
21984,0.0,1.0,0.0,0.0,1.0
21st,0.0,0.0,2.0,0.0,2.0
2207,0.0,1.0,0.0,0.0,1.0
2208,0.0,0.0,0.0,4.0,4.0
224977,0.0,0.0,0.0,2.0,2.0
2284,0.0,0.0,1.0,0.0,1.0
23000000,0.0,0.0,0.0,4.0,4.0
2370,0.0,1.0,0.0,0.0,1.0
23855,0.0,0.0,0.0,4.0,4.0
2398,0.0,1.0,0.0,0.0,1.0
243360,0.0,0.0,0.0,2.0,2.0
247354512,0.0,0.0,0.0,2.0,2.0
24bit,0.0,2.0,0.0,0.0,2.0
24x7,0.0,1.0,0.0,0.0,1.0
25010,1.0,0.0,0.0,0.0,1.0
25023,0.0,2.0,0.0,0.0,2.0
2504,0.0,1.0,0.0,0.0,1.0
250ml,0.0,0.0,0.0,4.0,4.0
2533,0.0,0.0,1.0,0.0,1.0
2566,0.0,0.0,1.0,0.0,1.0
2617,0.0,0.0,1.0,0.0,1.0
2621,0.0,1.0,0.0,0.0,1.0
26745,0.0,0.0,0.0,2.0,2.0
267e07,0.0,1.0,0.0,0.0,1.0
26818,0.0,0.0,2.0,0.0,2.0
2752,0.0,0.0,0.0,4.0,4.0
27652,0.0,0.0,1.0,0.0,1.0
281606,0.0,1.0,0.0,0.0,1.0
28611,0.0,0.0,0.0,2.0,2.0
2928071160,0.0,0.0,0.0,2.0,2.0
30000,0.0,0.0,0.0,4.0,4.0
300000,0.0,0.0,0.0,2.0,2.0
3000000,0.0,0.0,0.0,2.0,2.0
30000000,0.0,0.0,0.0,2.0,2.0
30day,0.0,0.0,1.0,0.0,1.0
3140,0.0,0.0,1.0,0.0,1.0
32178000,0.0,0.0,0.0,2.0,2.0
3314,0.0,0.0,0.0,2.0,2.0
334069889,0.0,0.0,0.0,2.0,2.0
337¢07,0.0,1.0,0.0,0.0,1.0
344634897,0.0,0.0,0.0,2.0,2.0
35983400,0.0,0.0,0.0,2.0,2.0
382410,0.0,0.0,0.0,2.0,2.0
3843,0.0,0.0,0.0,4.0,4.0
38448,0.0,0.0,0.0,4.0,4.0
386308017,0.0,0.0,0.0,4.0,4.0
38831,0.0,0.0,0.0,2.0,2.0
3compart,0.0,1.0,0.0,0.0,1.0
3dimension,3.0,0.0,0.0,0.0,3.0
3dprint,0.0,0.0,0.0,4.0,4.0
3gpp,0.0,1.0,0.0,0.0,1.0
4000000,0.0,0.0,0.0,2.0,2.0
412424,3.0,0.0,0.0,0.0,3.0
4158,2.0,0.0,0.0,0.0,2.0
4169,0.0,1.0,0.0,0.0,1.0
4194,0.0,0.0,1.0,0.0,1.0
41956,4.0,0.0,0.0,0.0,4.0
4197,0.0,0.0,1.0,0.0,1.0
4225,6.0,0.0,0.0,0.0,6.0
4250,0.0,0.0,0.0,2.0,2.0
4358997,0.0,0.0,0.0,2.0,2.0
4416,0.0,0.0,0.0,2.0,2.0
4500,0.0,0.0,0.0,2.0,2.0
4517,0.0,0.0,1.0,0.0,1.0
4530,0.0,0.0,0.0,2.0,2.0
4682,0.0,1.0,0.0,0.0,1.0
4712,0.0,0.0,0.0,2.0,2.0
4925000,0.0,0.0,0.0,2.0,2.0
49261,2.0,0.0,0.0,0.0,2.0
4csconnect,0.0,0.0,1.0,0.0,1.0
4digit,0.0,2.0,0.0,0.0,2.0
4level,1.0,0.0,0.0,0.0,1.0
4month,0.0,0.0,1.0,0.0,1.0
4mpayon,1.0,0.0,0.0,0.0,1.0
4pli,0.0,0.0,0.0,2.0,2.0
5000,0.0,0.0,1.0,6.0,7.0
50000,0.0,0.0,0.0,2.0,2.0
50000000,0.0,0.0,1.0,0.0,1.0
500head,0.0,0.0,0.0,2.0,2.0
5037594,0.0,0.0,1.0,0.0,1.0
50560000,0.0,0.0,0.0,2.0,2.0
50sow,0.0,0.0,0.0,2.0,2.0
5138,0.0,0.0,0.0,2.0,2.0
517559252,0.0,0.0,0.0,2.0,2.0
5236,0.0,0.0,0.0,2.0,2.0
5350,0.0,0.0,0.0,2.0,2.0
54550000,0.0,0.0,0.0,4.0,4.0
54811,0.0,0.0,0.0,2.0,2.0
56273,0.0,1.0,0.0,0.0,1.0
564257895,0.0,0.0,0.0,4.0,4.0
5700,1.0,0.0,0.0,0.0,1.0
5725,0.0,1.0,0.0,0.0,1.0
5817600,0.0,0.0,0.0,4.0,4.0
58537523,0.0,0.0,0.0,2.0,2.0
5968,0.0,1.0,0.0,0.0,1.0
5fold,0.0,1.0,0.0,0.0,1.0
5point,0.0,0.0,2.0,0.0,2.0
5scnn,0.0,1.0,0.0,0.0,1.0
5year,0.0,0.0,0.0,2.0,2.0
6000,0.0,1.0,0.0,0.0,1.0
60000,0.0,1.0,0.0,0.0,1.0
600000,0.0,0.0,0.0,4.0,4.0
60000000,0.0,0.0,0.0,2.0,2.0
6008,0.0,0.0,1.0,0.0,1.0
60353690,0.0,0.0,0.0,4.0,4.0
6073,0.0,0.0,1.0,0.0,1.0
6148,0.0,1.0,0.0,0.0,1.0
62114,0.0,1.0,0.0,0.0,1.0
6219646,0.0,1.0,0.0,0.0,1.0
623700000,0.0,0.0,0.0,2.0,2.0
630pm,0.0,0.0,0.0,4.0,4.0
