Terms,Weights
1000,4.75
2016,1.9473684210526314
2017,11.0
2018,11.285714285714285
2020,5.125
2021,5.800000000000001
4225,10.0
91261,14.5
abil,4.5675675675675675
abl,4.566037735849056
abnorm,8.0
abstract,4.954545454545454
academ,11.695652173913043
academi,7.0
acceler,5.199999999999999
accept,9.956521739130434
acceptor,16.0
access,6.225806451612903
accid,18.333333333333332
accommod,5.285714285714286
accomplish,2.5
accord,3.347826086956522
accordingli,3.25
account,10.473684210526315
accumul,6.333333333333333
accur,4.449999999999999
accuraci,39.769230769230774
achiev,7.8108108108108105
acknowledg,4.0
aclc,4.769230769230769
acquir,2.875
acquisit,12.0
across,6.4
act,4.0
action,6.699999999999999
activ,3.4893617021276597
actual,2.9565217391304346
ad,2.0588235294117645
adapt,11.615384615384615
addit,2.9615384615384617
address,4.478260869565218
adequ,4.0
adhoc,13.0
adjust,4.882352941176471
admin,79.0
administ,2.3846153846153846
administr,3.1971830985915495
admiss,6.4
adopt,3.590909090909091
advanc,3.387755102040816
advantag,2.953488372093023
advent,4.0
advertis,16.0
advis,5.5
advisori,14.5
affect,4.965217391304348
afford,4.0
africa,6.0
age,2.764705882352941
agenc,3.170212765957447
agenda,8.2
agent,4.428571428571429
aggreg,3.4000000000000004
agil,28.428571428571427
agre,4.0
agricultur,4.849056603773585
agusan,3.8571428571428568
aid,2.875
aim,2.59656652360515
alarm,14.0
alcohol,95.5
alcoholrel,10.0
alert,20.200000000000003
algorithm,61.0
align,1.75
allevi,2.7142857142857144
alloc,1.967741935483871
allow,3.5048543689320386
almost,3.307692307692308
alon,4.0
along,2.5
alreadi,4.5625
alstudi,10.0
alter,2.2
altern,3.7058823529411766
although,7.0
alway,4.0
ammonia,13.0
among,7.077922077922077
amount,3.5135135135135136
ampayon,6.142857142857142
amzi,3.571428571428571
analys,8.588235294117647
analysi,3.4271844660194177
analyt,6.333333333333333
analyz,3.347826086956522
anchor,10.0
android,24.599999999999998
angular,8.2
anim,7.375
annual,9.769230769230768
anoth,2.909090909090909
answer,5.714285714285714
apach,10.600000000000001
apart,1.9230769230769231
appeal,3.571428571428571
appear,1.7058823529411764
appli,3.4375
applic,8.204013377926422
appoint,4.0
appreci,10.0
approach,8.395348837209301
appropri,4.147540983606557
approv,9.181818181818182
approxim,1.9
aqua,14.5
aquino,5.666666666666667
arab,1.0
arabia,2.875
architectur,67.0
arduino,31.0
area,3.0982658959537575
aris,2.5
around,4.081081081081081
arrang,1.6666666666666665
array,6.142857142857142
arriv,1.7058823529411764
articl,5.578947368421053
artifact,5.285714285714286
artifici,14.200000000000001
asid,7.857142857142857
aspect,5.153846153846153
assess,4.801526717557252
asset,7.545454545454545
assign,3.0425531914893615
assist,5.199999999999999
associ,4.142857142857143
assum,4.75
assumpt,4.428571428571429
assur,3.25
attack,39.66666666666667
attain,2.764705882352941
attempt,3.6153846153846154
attend,3.571428571428571
attent,3.1538461538461537
attitud,1.0
attract,7.545454545454545
attribut,8.297297297297298
augment,6.28
authent,5.909090909090909
author,3.769230769230769
auto,2.2
autom,14.692307692307692
automat,13.833333333333332
automobil,6.25
automot,3.727272727272727
avail,2.9367088607594938
avenu,12.28
averag,5.574999999999999
avoid,4.157894736842105
awar,3.526315789473684
baan,28.0
babi,19.0
bachelor,3.625
back,3.0869565217391304
background,6.142857142857142
bacteria,9.571428571428571
balanc,2.5319148936170213
bank,2.074626865671642
baon,10.0
barangay,8.704545454545455
barrier,1.0
base,3.6448979591836737
basi,3.8571428571428568
basic,2.655172413793103
bayanihan,23.5
becam,3.25
becom,3.3902439024390243
begin,1.4615384615384617
behavior,8.78125
behaviour,18.04
believ,3.5384615384615383
bend,10.0
benefici,3.2857142857142856
beneficiari,5.363636363636363
benefit,2.3676470588235294
besid,4.0
best,4.966101694915254
better,1.627906976744186
beyond,3.6666666666666665
bia,2.2
bigger,3.571428571428571
bill,6.28
billion,4.75
blind,4.428571428571429
block,4.300000000000001
blood,13.5
blue,3.571428571428571
board,10.600000000000001
bodi,8.333333333333334
book,5.8979591836734695
boost,2.92
bootstrap,8.384615384615385
borrow,9.307692307692307
boulevard,3.571428571428571
boundari,5.909090909090909
brand,26.25
bread,3.571428571428571
breadboard,13.0
break,2.7142857142857144
breath,12.0
brgi,3.571428571428571
bring,2.5652173913043477
browser,15.399999999999999
budget,3.1081081081081083
buenavista,4.428571428571429
build,3.5125
built,9.0
burden,7.0
bureau,9.0
busi,6.4238410596026485
button,13.0
butuan,3.565
buy,37.599999999999994
buyer,3.8
buzzer,26.5
cage,32.5
calam,32.5
calcul,4.6
call,3.5531914893617023
came,6.142857142857142
camera,15.399999999999999
campaign,16.333333333333332
camscann,13.857142857142858
capabl,3.4761904761904763
capac,2.0588235294117645
capit,16.142857142857142
captur,4.882352941176471
caraga,14.615384615384615
card,6.5
care,3.6
carri,4.230769230769231
case,7.465517241379311
cash,12.419354838709678
cashier,7.5
cashless,14.5
cast,7.0
categor,1.0
categori,4.125
cater,6.75
caus,4.36
cbtm,10.0
celebr,8.714285714285715
cell,5.199999999999999
cement,4.333333333333334
center,5.0
central,3.64
certain,5.105263157894737
certif,9.25
chain,5.5
challeng,1.7
chang,4.0
channel,5.137931034482759
charact,5.894736842105263
characterist,3.326530612244898
charg,3.2222222222222223
chart,7.75
chatbot,9.571428571428571
check,6.793103448275862
checker,10.0
chemic,2.5
chicken,5.3999999999999995
children,8.384615384615385
china,5.0
chines,16.0
chisquar,4.818181818181818
choic,4.771428571428571
choos,4.061224489795919
chosen,2.8333333333333335
citi,5.507772020725389
