BACKGROUND TF MONO KNeighborsClassifier	0.946236559139785	0.946236559139785	0.946236559139785	0.946236559139785

BACKGROUND TF MONO MultinomialNB	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516

BACKGROUND TF MONO SVC	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

BACKGROUND SQRT TF MONO KNeighborsClassifier	0.9247311827956989	0.9247311827956989	0.9247311827956989	0.9247311827956989

BACKGROUND SQRT TF MONO MultinomialNB	0.9139784946236559	0.9139784946236559	0.9139784946236559	0.9139784946236559

BACKGROUND SQRT TF MONO SVC	0.946236559139785	0.946236559139785	0.946236559139785	0.946236559139785

BACKGROUND TF EMONO KNeighborsClassifier	0.946236559139785	0.946236559139785	0.946236559139785	0.946236559139785

BACKGROUND TF EMONO MultinomialNB	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516

BACKGROUND TF EMONO SVC	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

BACKGROUND SQRT TF EMONO KNeighborsClassifier	0.9247311827956989	0.9247311827956989	0.9247311827956989	0.9247311827956989

BACKGROUND SQRT TF EMONO MultinomialNB	0.8709677419354839	0.8709677419354839	0.8709677419354839	0.8709677419354839

BACKGROUND SQRT TF EMONO SVC	0.946236559139785	0.946236559139785	0.946236559139785	0.946236559139785

BACKGROUND TF IGM KNeighborsClassifier	0.6881720430107527	0.6881720430107527	0.6881720430107527	0.6881720430107527

BACKGROUND TF IGM MultinomialNB	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

BACKGROUND TF IGM SVC	0.7956989247311828	0.7956989247311828	0.7956989247311828	0.7956989247311826

BACKGROUND SQRT TF IGM KNeighborsClassifier	0.7204301075268817	0.7204301075268817	0.7204301075268817	0.7204301075268817

BACKGROUND SQRT TF IGM MultinomialNB	0.989247311827957	0.989247311827957	0.989247311827957	0.989247311827957

BACKGROUND SQRT TF IGM SVC	0.9247311827956989	0.9247311827956989	0.9247311827956989	0.9247311827956989

ABSTRACT TF MONO KNeighborsClassifier	0.8924731182795699	0.8924731182795699	0.8924731182795699	0.8924731182795699

ABSTRACT TF MONO MultinomialNB	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516

ABSTRACT TF MONO SVC	0.946236559139785	0.946236559139785	0.946236559139785	0.946236559139785

ABSTRACT SQRT TF MONO KNeighborsClassifier	0.9139784946236559	0.9139784946236559	0.9139784946236559	0.9139784946236559

ABSTRACT SQRT TF MONO MultinomialNB	0.7741935483870968	0.7741935483870968	0.7741935483870968	0.7741935483870968

ABSTRACT SQRT TF MONO SVC	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

ABSTRACT TF EMONO KNeighborsClassifier	0.8494623655913979	0.8494623655913979	0.8494623655913979	0.8494623655913978

ABSTRACT TF EMONO MultinomialNB	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516

ABSTRACT TF EMONO SVC	0.9139784946236559	0.9139784946236559	0.9139784946236559	0.9139784946236559

ABSTRACT SQRT TF EMONO KNeighborsClassifier	0.8817204301075269	0.8817204301075269	0.8817204301075269	0.8817204301075269

ABSTRACT SQRT TF EMONO MultinomialNB	0.6774193548387096	0.6774193548387096	0.6774193548387096	0.6774193548387096

ABSTRACT SQRT TF EMONO SVC	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

ABSTRACT TF IGM KNeighborsClassifier	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666

ABSTRACT TF IGM MultinomialNB	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

ABSTRACT TF IGM SVC	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419

ABSTRACT SQRT TF IGM KNeighborsClassifier	0.7956989247311828	0.7956989247311828	0.7956989247311828	0.7956989247311826

ABSTRACT SQRT TF IGM MultinomialNB	0.967741935483871	0.967741935483871	0.967741935483871	0.967741935483871

ABSTRACT SQRT TF IGM SVC	0.9354838709677419	0.9354838709677419	0.9354838709677419	0.9354838709677419
